landslides_polygons$id,mean.tch,sd.tch,mean.slope,mean.tri,tri.10m,elev,elev.km,ls.northing,ls.easting,insol.dsm,insol.kw,insol,agb,year,age,surface.area,perimeter,elev.mean.tch,max.tch.buf,rem
50,1.442091315,1.72373646,42.62423649,1.527100784,7.359448242,3398.914721,3.398914721,0.415934136,0.85698535,1556094.247,1556.094247,4.263271909,5.609675677,2006,7,5687.913835,442.5185357,5.898402069,6.527099609,1
51,0.754520227,1.171449434,39.81755157,1.282527766,6.229669189,3289.955572,3.289955572,0.706644496,-0.641633277,1568384.014,1568.384014,4.296942505,3.861260462,2000,13,3191.492015,356.4633835,7.903358631,3.538085938,0
52,0.361184513,0.673565673,43.36582415,1.458263143,6.481170654,3308.534205,3.308534205,0.803950955,-0.536321159,1514072.375,1514.072375,4.148143493,1.990389864,1999,14,330.0890605,80.01877369,7.561493325,0.175537109,0
53,2.500436711,3.094809916,39.67106189,1.323424926,6.28692191,3249.252939,3.249252939,-0.63470315,0.579345816,1241472.698,1241.472698,3.401295062,14.64155898,1999,14,6693.841665,459.913908,8.652327513,17.64086914,1
54,1.873273296,1.574060647,39.09427526,1.28369157,6.300130208,3064.998391,3.064998391,0.367261162,0.911156582,1372262.289,1372.262289,3.75962271,10.352181,1998,15,970.9398228,141.4597003,11.57760842,3.530029297,0
55,1.644541346,1.611230373,40.65119668,1.369957684,6.547893524,3048.376568,3.048376568,0.279049753,0.936546532,1331251.951,1331.251951,3.647265619,7.576942742,2000,13,1073.909613,155.6187538,11.59724513,7.009033203,0
56,4.060781999,2.731778318,43.11690389,1.453555703,6.553959438,3023.281119,3.023281119,0.573639317,0.757479268,1267760.168,1267.760168,3.473315528,25.97555903,2001,12,2011.76379,315.4205619,11.62689243,9.166503906,0
57,3.071944852,2.434642646,41.47687777,1.348495318,6.317144775,3018.925974,3.018925974,0.719787802,0.650477402,1325103.545,1325.103545,3.630420672,16.82932475,2000,13,3011.115401,303.3957046,11.63203751,9.852539063,0
58,3.06578759,3.309991166,40.72092798,1.336324481,6.499796549,3020.068036,3.020068036,0.565800094,0.779973044,1310587.545,1310.587545,3.590650809,18.8382765,1999,14,1796.793698,313.3453776,11.6306883,7.317382813,0
59,5.494645732,3.602265896,38.85146446,1.287434138,6.02874559,3186.781056,3.186781056,0.816328928,0.34493954,1357821.374,1357.821374,3.720058559,34.56046063,2001,12,8081.193962,510.5619636,9.801872206,22.42236328,1
60,3.270781539,2.49383338,53.05487696,2.170553303,10.78251648,2917.365626,2.917365626,0.935812813,0.217273999,999914.3364,999.9143364,2.739491333,18.35956633,2003,10,1943.329071,219.8396525,11.75201901,9.293945313,0
61,3.958974968,4.165292378,53.8054477,2.322031576,10.66042328,2969.272007,2.969272007,0.713169503,0.504503837,1027099.69,1027.09969,2.813971753,22.64887468,2009,4,11218.54795,528.6639934,11.69069778,20.66040039,1
62,1.993683484,1.946900664,51.86432219,2.161721586,10.66953735,3033.734817,3.033734817,0.939682014,0.255562455,747966.5404,747.9665404,2.049223398,20.79852185,2009,4,691.6586662,129.7402786,11.61454262,1.787109375,0
63,1.359236336,0.999921873,41.00392527,1.348450327,6.376408504,2602.921216,2.602921216,0.83358522,0.415454413,1194138.695,1194.138695,3.271612864,6.156145224,2012,1,3445.911085,234.355682,12.12349775,6.436767578,0
